2023-10-18 14:07:55.400 | DEBUG    | __main__:task:258 - Inserting Cboe Global Markets:NOC Support Intern to job_listings table
2023-10-18 14:07:55.402 | DEBUG    | __main__:insert_job_listing:77 - Inserted Cboe Global Markets:NOC Support Intern to job_listings table
2023-10-18 14:07:55.403 | DEBUG    | __main__:task:258 - Inserting City Utilities of Springfield:SpringNet Network Engineer Intern to job_listings table
2023-10-18 14:07:55.410 | DEBUG    | __main__:insert_job_listing:77 - Inserted City Utilities of Springfield:SpringNet Network Engineer Intern to job_listings table
2023-10-18 14:07:55.411 | DEBUG    | __main__:task:258 - Inserting CACI International Inc:Network Engineer Intern – Summer 2024 to job_listings table
2023-10-18 14:07:55.414 | DEBUG    | __main__:insert_job_listing:77 - Inserted CACI International Inc:Network Engineer Intern – Summer 2024 to job_listings table
2023-10-18 14:07:55.414 | DEBUG    | __main__:task:258 - Inserting Spectrum:2024 Summer Intern: Network Engineer Intern - Spectrum Enterprise to job_listings table
2023-10-18 14:07:55.418 | DEBUG    | __main__:insert_job_listing:77 - Inserted Spectrum:2024 Summer Intern: Network Engineer Intern - Spectrum Enterprise to job_listings table
2023-10-18 14:07:55.418 | DEBUG    | __main__:task:258 - Inserting Hewlett Packard Enterprise:Network Simulation Engineer Intern to job_listings table
2023-10-18 14:07:55.426 | DEBUG    | __main__:insert_job_listing:77 - Inserted Hewlett Packard Enterprise:Network Simulation Engineer Intern to job_listings table
2023-10-18 14:07:55.427 | DEBUG    | __main__:task:258 - Inserting Spectrum Real-Time Visual Solutions:Spectrum, 2024 Summer Intern: Network Engineer Intern - Spectrum Enterprise - Application via WayUp to job_listings table
2023-10-18 14:07:55.431 | DEBUG    | __main__:insert_job_listing:77 - Inserted Spectrum Real-Time Visual Solutions:Spectrum, 2024 Summer Intern: Network Engineer Intern - Spectrum Enterprise - Application via WayUp to job_listings table
2023-10-18 14:07:55.431 | DEBUG    | __main__:task:258 - Inserting Electric Power Engineers:Power Systems Intern - Early Submission to job_listings table
2023-10-18 14:07:55.437 | DEBUG    | __main__:insert_job_listing:77 - Inserted Electric Power Engineers:Power Systems Intern - Early Submission to job_listings table
2023-10-18 14:07:55.439 | DEBUG    | __main__:task:258 - Inserting ByteDance:Network Software Development Engineer Intern (SDN-Network Analytics) - 2024 Summer (MS) to job_listings table
2023-10-18 14:07:55.442 | DEBUG    | __main__:insert_job_listing:77 - Inserted ByteDance:Network Software Development Engineer Intern (SDN-Network Analytics) - 2024 Summer (MS) to job_listings table
2023-10-18 14:07:55.442 | DEBUG    | __main__:task:258 - Inserting NetApp:Intern - Support & Services to job_listings table
